waktu,id_tweet,count_retweet,count_likes,id_account_twitter,username,full_name,followers,following,location,tweet
2021-12-23 00:23:08,1473811373234995204,15,0,923760050161586176,APPLE_KENMA05,Ken,189,333,,"RT @FlmHshr: Complain however you want, but estes is pretty much the perfect hero for m3 skin.

It may not have been so instrumental in the…"
2021-12-23 00:16:36,1473809731974463489,19,0,923760050161586176,APPLE_KENMA05,Ken,189,333,,"RT @ONEEsports: Which hero will get an M3 skin? 🤔

@BLACKLISTINTL's OHEB and OhMyV33nus share their wish list 👉 https://t.co/yBdbII7c3h

#M…"
2021-12-23 00:16:29,1473809701951672320,15,0,712175982,RandzSoriano_04,Randhel Soriano,506,605,philippines,"RT @FlmHshr: Complain however you want, but estes is pretty much the perfect hero for m3 skin.

It may not have been so instrumental in the…"
2021-12-22 23:52:15,1473803603869835264,0,0,1303541406007324673,Jy_aksel,Axle Constantino,5,4,Davao City,What's the point of m3 championship title if moontoon doesn't listening to blacklist international's choice of hero… https://t.co/CemJvz6xNB
2021-12-22 22:05:32,1473776744872087552,0,0,175666320,OhmyLun4,Ecah 🐱💞,1604,424,Quezon City,"Wag na kayo magtanong kung kayo rin nman pala masusunod

#WeWantEstesSkin 
#m3worldchampionship 
#Blacklistinternational 
#Moonton"
2021-12-22 20:35:10,1473754004203409408,0,0,1159752343,kezhballon,Kez♡,97,18,Quezon City,"Respect the M3 Champion! Respect Blacklist!
#Blacklistinternational #M3WorldChampionship #MobileLegendsBangBang #WeWantEstesSkin"
2021-12-22 20:19:05,1473749956419010560,15,0,1471156311559524354,Echinococcus_x,Buttercup,3,8,,"RT @FlmHshr: Complain however you want, but estes is pretty much the perfect hero for m3 skin.

It may not have been so instrumental in the…"
2021-12-22 20:11:45,1473748110161498112,3,0,1303490343300673542,Beux46930708,Beux,0,0,,"RT @jeffyyyyyyyyyyu: Wtf moonton.
That's a shame if you won't let blacklist have their own CHAMPIONSHIP SKIN.
#WeWantEstesSkin
#Estes #M3Wo…"
2021-12-22 20:11:12,1473747973909594113,15,0,1303490343300673542,Beux46930708,Beux,0,0,,"RT @FlmHshr: Complain however you want, but estes is pretty much the perfect hero for m3 skin.

It may not have been so instrumental in the…"
2021-12-22 19:31:46,1473738051427962880,1,0,818003622160056320,dko_lm,vw,74,367,north,"RT @angelo37873979: #WeWantEstes 
#WeWantEstesSkin 
#qweenvee
#MLBBM3 
#Blacklistinternational 
#M3WorldChampionship 
#EstesM3Skin https://…"
